,no,question1,question2,grade,lang,q1_tokens,q2_tokens
29,32,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,need extractions like answering mean let us assume question ada lovelace atatrk alive firstly need classification answers need obtain keywords normalizing tokenizing etc query frame say question begins who-whom assume answer person begin location let us go back question answer type person ada lovelace token another question answer type yesno tokens atatrk alive searching corpus tokens take answers related question measure semantic similaritywordtextsense level,50,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['need', 'extractions', 'like', 'answering', 'mean', 'let', 'us', 'assume', 'question', 'ada', 'lovelace', 'atat\x81rk', 'alive', 'firstly', 'need', 'classification', 'answers', 'need', 'obtain', 'keywords', 'normalizing', 'tokenizing', 'etc', 'query', 'frame', 'say', 'question', 'begins', 'who-whom', 'assume', 'answer', 'person', 'begin', 'location', 'let', 'us', 'go', 'back', 'question', 'answer', 'type', 'person', 'ada', 'lovelace', 'token', 'another', 'question', 'answer', 'type', 'yesno', 'tokens', 'atat\x81rk', 'alive', 'searching', 'corpus', 'tokens', 'take', 'answers', 'related', 'question', 'measure', 'semantic', 'similaritywordtextsense', 'level']"
30,33,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,use contextual pos information show words vectors vector space model relevant things familiar words according idea use one similarity methods according result choose text include words,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['use', 'contextual', 'pos', 'information', 'show', 'words', 'vectors', 'vector', 'space', 'model', 'relevant', 'things', 'familiar', 'words', 'according', 'idea', 'use', 'one', 'similarity', 'methods', 'according', 'result', 'choose', 'text', 'include', 'words']"
31,34,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,find text similarity applying word similarity first get rid stopwords take lemmas words question afterthat compare words question words text corpuswhile comparing words use wordnet let us know two words relation strong weak relation do not comparing words find text relational words inside mine,50,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['find', 'text', 'similarity', 'applying', 'word', 'similarity', 'first', 'get', 'rid', 'stopwords', 'take', 'lemmas', 'words', 'question', 'afterthat', 'compare', 'words', 'question', 'words', 'text', 'corpuswhile', 'comparing', 'words', 'use', 'wordnet', 'let', 'us', 'know', 'two', 'words', 'relation', 'strong', 'weak', 'relation', 'do', 'not', 'comparing', 'words', 'find', 'text', 'relational', 'words', 'inside', 'mine']"
32,35,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,vector space model model calculate words sentences vector place corpus compare question give us sematically revelant text question,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['vector', 'space', 'model', 'model', 'calculate', 'words', 'sentences', 'vector', 'place', 'corpus', 'compare', 'question', 'give', 'us', 'sematically', 'revelant', 'text', 'question']"
33,38,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,short question sentence use relevant based question answering first get quesition make vector vector model make classification sentence make passages number decrese search relevent passage calculating similarity question passagesand co-occurance words arround text includle answer mean search relevent passage vectors similrty,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['short', 'question', 'sentence', 'use', 'relevant', 'based', 'question', 'answering', 'first', 'get', 'quesition', 'make', 'vector', 'vector', 'model', 'make', 'classification', 'sentence', 'make', 'passages', 'number', 'decrese', 'search', 'relevent', 'passage', 'calculating', 'similarity', 'question', 'passagesand', 'co-occurance', 'words', 'arround', 'text', 'includle', 'answer', 'mean', 'search', 'relevent', 'passage', 'vectors', 'similrty']"
34,39,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,think use ir-based question answering method question short one sentence well used first well query question kind question classify question according corpusquestion process say like word question maybe answer wordpassage retirival decide almost nearly answers question choose one answers according rulesanswer exact finally exact semantically relevant answer,50,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['think', 'use', 'ir-based', 'question', 'answering', 'method', 'question', 'short', 'one', 'sentence', 'well', 'used', 'first', 'well', 'query', 'question', 'kind', 'question', 'classify', 'question', 'according', 'corpusquestion', 'process', 'say', 'like', 'word', 'question', 'maybe', 'answer', 'wordpassage', 'retirival', 'decide', 'almost', 'nearly', 'answers', 'question', 'choose', 'one', 'answers', 'according', 'rulesanswer', 'exact', 'finally', 'exact', 'semantically', 'relevant', 'answer']"
35,40,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,lemmatization applied decrease sze corpus sentences corpus question weighted using tf-idf similarity calculated cosine smilarity sentence wth largest cosne value relavent sentence text includes sentence relevant text,50,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['lemmatization', 'applied', 'decrease', 's\x8dze', 'corpus', 'sentences', 'corpus', 'question', 'weighted', 'using', 'tf-idf', 'similarity', 'calculated', 'cosine', 's\x8dmilarity', 'sentence', 'w\x8dth', 'largest', 'cos\x8dne', 'value', 'relavent', 'sentence', 'text', 'includes', 'sentence', 'relevant', 'text']"
36,41,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,f question two words tri-grams f question two word time n-grams suitable rather tri-grams,0,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['\x98f', 'question', 'two', 'words', 'tri-grams', '\x98f', 'question', 'two', 'word', 'time', 'n-grams', 'suitable', 'rather', 'tri-grams']"
37,43,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,large firstly use tokenizing syntactic analyzing lexical similarity function applying,0,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['large', 'firstly', 'use', 'tokenizing', 'syntactic', 'analyzing', 'lexical', 'similarity', 'function', 'applying']"
38,44,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,look relation correct answer vector model true answer --- relation high --- relavant text high mark ------ relation low low mark,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['look', 'relation', 'correct', 'answer', 'vector', 'model', 'true', 'answer', '--', '-', 'relation', 'high', '--', '-', 'relavant', 'text', 'high', 'mark', '--', '--', '--', 'relation', 'low', 'low', 'mark']"
39,48,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,use semantic relatedness similarity functions,0,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['use', 'semantic', 'relatedness', 'similarity', 'functions']"
40,49,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,large corpus use monitor corpus approaches time accepted use question answering question answering techniques knowledge based question ir based question knowledge based question answering extract passages directly documents quided next question,0,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['large', 'corpus', 'use', 'monitor', 'corpus', 'approaches', 'time', 'accepted', 'use', 'question', 'answering', 'question', 'answering', 'techniques', 'knowledge', 'based', 'question', 'ir', 'based', 'question', 'knowledge', 'based', 'question', 'answering', 'extract', 'passages', 'directly', 'documents', 'quided', 'next', 'question']"
41,51,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,use vector space models vsm good large corporaso use lemmas instead wordswe apply vsm computer understand strings convert numerical valuesif dialog system know history answer according historybut qa systems is not historywe find word meanings text word1meaningword2meaningwordnmeaningtext meaning use semantic analysisalso use text classifications,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['use', 'vector', 'space', 'models', 'vsm', 'good', 'large', 'corporaso', 'use', 'lemmas', 'instead', 'wordswe', 'apply', 'vsm', 'computer', 'understand', 'strings', 'convert', 'numerical', 'valuesif', 'dialog', 'system', 'know', 'history', 'answer', 'according', 'historybut', 'qa', 'systems', 'is', 'not', 'historywe', 'find', 'word', 'meanings', 'text', 'word1meaningword2meaningwordnmeaningtext', 'meaning', 'use', 'semantic', 'analysisalso', 'use', 'text', 'classifications']"
42,52,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,use statistical type pharapasing divide corpus pharagraphes find related pharagraphes look sentences find relevant text,50,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['use', 'statistical', 'type', 'pharapasing', 'divide', 'corpus', 'pharagraphes', 'find', 'related', 'pharagraphes', 'look', 'sentences', 'find', 'relevant', 'text']"
43,54,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,solve problem use knowledge-based question answering methods knowledge-based question answering method directly take relevant text corpus short question one sentence,0,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['solve', 'problem', 'use', 'knowledge-based', 'question', 'answering', 'methods', 'knowledge-based', 'question', 'answering', 'method', 'directly', 'take', 'relevant', 'text', 'corpus', 'short', 'question', 'one', 'sentence']"
44,55,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,find semantically use paralel corpus need semantic relation,0,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['find', 'semantically', 'use', 'paralel', 'corpus', 'need', 'semantic', 'relation']"
45,56,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,first estimate stop words use lemmas token string convert number vector space model finally found similarity words,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['first', 'estimate', 'stop', 'words', 'use', 'lemmas', 'token', 'string', 'convert', 'number', 'vector', 'space', 'model', 'finally', 'found', 'similarity', 'words']"
46,57,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,firstly used pos tagging corpusour searching easy need check answers question know answerwe search questions answer semantic similarity beetwen question founded question,0,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['firstly', 'used', 'pos', 'tagging', 'corpusour', 'searching', 'easy', 'need', 'check', 'answers', 'question', 'know', 'answerwe', 'search', 'questions', 'answer', 'semantic', 'similarity', 'beetwen', 'question', 'founded', 'question']"
47,58,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,question answering systems semantic analysis question happens question processing phase came passage retrievel part already know answer type keywords question thing done searching keywords question typename location passages rank according co-occurences passage highest rank relevant document corpus,75,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['question', 'answering', 'systems', 'semantic', 'analysis', 'question', 'happens', 'question', 'processing', 'phase', 'came', 'passage', 'retrievel', 'part', 'already', 'know', 'answer', 'type', 'keywords', 'question', 'thing', 'done', 'searching', 'keywords', 'question', 'typename', 'location', 'passages', 'rank', 'according', 'co-occurences', 'passage', 'highest', 'rank', 'relevant', 'document', 'corpus']"
48,60,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,pos tagging neighbour tags related topic check part corpus second solution surrounding bag words check bag words related topic found text,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['pos', 'tagging', 'neighbour', 'tags', 'related', 'topic', 'check', 'part', 'corpus', 'second', 'solution', 'surrounding', 'bag', 'words', 'check', 'bag', 'words', 'related', 'topic', 'found', 'text']"
